breed,other_names,size,life_span,height,height_sec,price,adaptability,apartment_friendly,barking_tendencies,child_friendly,cat_friendly,dog_friendly,exercise_needs,grooming,health_issues,intelligence,playfulness,shedding_level,stranger_friendly,trainability
"American English Coonhound","English Coonhound, Redtick Coonhound","Large","10-12 years","21 - 27 inches (53 - 69 cm)","","Average $1000 - $1200 USD","4 stars","2 stars","2 stars","4 stars","3 stars","2 stars","4 stars","1 stars","3 stars","2 stars","4 stars","3 stars","2 stars","3 stars"
"Lowchen","Petit Chien Lion, Little Lion Dog","Small","12-15 years","10-13 inches (25-33 cm)","","Average $300 - $500 USD","5 stars","5 stars","5 stars","4 stars","5 stars","3 stars","3 stars","5 stars","2 stars","2 stars","3 stars","1 stars","5 stars","4 stars"
"Sussex Spaniel","Sussex","Medium","12-15 years","15-16 inches (38-40 cm)","","Average $2400 - $2600 USD","5 stars","3 stars","5 stars","5 stars","3 stars","5 stars","4 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","4 stars"
"Finnish Lapphund","Lapinkoira, Suomenlapinkoira","Medium","12-15 years","Female: 16?19 inches (41?47 cm)","Male: 18?20 inches (46?52 cm)","Average $600 - $800 USD","5 stars","2 stars","5 stars","5 stars","3 stars","5 stars","5 stars","5 stars","2 stars","2 stars","4 stars","5 stars","2 stars","3 stars"
"Norwegian Buhund","Norsk Buhund, Norwegian Sheepdog","Medium","13-15 years","Male: 17-18? inches (43-47 cm)","Female: 16-17? inches (41-45 cm)","Average $800 - $1000 USD","5 stars","2 stars","5 stars","5 stars","5 stars","3 stars","5 stars","1 stars","2 stars","2 stars","4 stars","3 stars","3 stars","3 stars"
"Chinook","None","Large","12-15 years","Male: 23-27 inches (58-69 cm)","Female: 21-25 inches (53-64 cm)","Average $800 - $1000 USD","5 stars","3 stars","3 stars","5 stars","3 stars","3 stars","5 stars","3 stars","3 stars","2 stars","4 stars","3 stars","3 stars","4 stars"
"Pyrenean Shepherd","Berger Des Pyr?n?es, Petit Berger, Pyrenees Sheepdog, Pyr Shep","Medium","15-17 years","15.5-18.5 inches (39-47 cm)","","Average $500 - $800 USD","2 stars","4 stars","5 stars","4 stars","3 stars","2 stars","5 stars","3 stars","2 stars","2 stars","4 stars","3 stars","2 stars","4 stars"
"Komondor","Hungarian Sheepdog, Hungarian Komondor, Mop Dog","Large","10-12 years","25.5 inches (65 cm)","","Average $800 - $1200 USD","3 stars","2 stars","4 stars","2 stars","4 stars","2 stars","3 stars","4 stars","3 stars","2 stars","3 stars","1 stars","1 stars","3 stars"
"Skye Terrier","None","Medium","12-14 years","9.75-10.25 inches (25-26 cm)","","Average $700 - $900 USD","5 stars","5 stars","2 stars","3 stars","2 stars","2 stars","3 stars","3 stars","4 stars","4 stars","3 stars","1 stars","2 stars","2 stars"
"Finnish Spitz","Barking Bird Dog, Finnish Hunting Dog, Finnish Spets, Finsk Spets, Loulou Finois, Suomalainen Pystykorva, Suomenpystykorva","Medium","12-15 years","15-20 inches (38-51 cm)","","Average $500 - $700 USD","3 stars","4 stars","5 stars","4 stars","4 stars","3 stars","5 stars","3 stars","4 stars","4 stars","4 stars","3 stars","3 stars","3 stars"
"Glen of Imaal Terrier","Glen, Glennie, Irish Glen Of Imaal Terrier","Medium","12-14 years","14 inches (35.5-36.5 cm)","","Average $800 - $1000 USD","5 stars","5 stars","1 stars","4 stars","1 stars","2 stars","4 stars","2 stars","3 stars","2 stars","4 stars","1 stars","2 stars","4 stars"
"Canaan Dog","Kalef K'Naani, Canaanite Dog","Medium","12-14 years","19-24 inches (48-61 cm)","","Average $800 - $1200 USD","5 stars","3 stars","3 stars","5 stars","2 stars","2 stars","3 stars","1 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars"
"Cesky Terrier","Bohemian Terrier","Small","12-15 years","10 - 13 inches (25 - 32 cm)","","Average $300 - $500 USD","3 stars","3 stars","3 stars","4 stars","3 stars","1 stars","3 stars","5 stars","3 stars","2 stars","3 stars","1 stars","2 stars","1 stars"
"Cirneco dell?Etna","Cirneco","Medium","12-15 years","Male: 10?12 kg (22?26 lb)","Female: 8?10 kg (18?22 lb)","Average $800 - $1000 USD","5 stars","5 stars","2 stars","4 stars","3 stars","5 stars","4 stars","2 stars","1 stars","2 stars","3 stars","1 stars","3 stars","4 stars"
"Bergamasco","Bergamasco Shepherd Dog, Bergermaschi","Large","13-15 years","22-24 inches (54-62 cm)","","Average $1000 - $1200 USD","5 stars","3 stars","2 stars","5 stars","3 stars","3 stars","4 stars","2 stars","2 stars","2 stars","3 stars","1 stars","2 stars","2 stars"
"Harrier","None","Medium","10-12 years","19-21 inches (48-50 cm)","","Average $300 - $400 USD","3 stars","1 stars","2 stars","5 stars","2 stars","5 stars","5 stars","1 stars","1 stars","2 stars","3 stars","3 stars","4 stars","4 stars"
"English Foxhound","Foxhound","Large","10-13 years","Male: 22-25 inches (56-63 cm)","Female: 21-24 inches (53-61 cm)","Average $800 - $1200 USD","4 stars","1 stars","5 stars","5 stars","2 stars","5 stars","5 stars","1 stars","1 stars","4 stars","3 stars","3 stars","3 stars","4 stars"
"Norwegian Lundehund","Norsk Lundehund, Norwegian Puffin Dog, Lundehund","Small","10-12 years","12-15.5 inches (31-39 cm)","","Average $400 - $600 USD","4 stars","1 stars","2 stars","4 stars","2 stars","3 stars","5 stars","3 stars","3 stars","2 stars","4 stars","3 stars","2 stars","3 stars"
"American Foxhound","Foxhound","Large","10-12 years","21-25 inches (53-64 cm)","","Average $400 - $600 USD","5 stars","1 stars","5 stars","5 stars","2 stars","5 stars","5 stars","1 stars","1 stars","4 stars","5 stars","1 stars","3 stars","3 stars"
"Miniature Poodle","Caniche, Barbone, Chien Canne, Carniche Moyen, Barboncino Miniatura, French Poodle, Pudle, Zwergpudel","Small","14-16 years","11-15 inches (28-38 cm)","","Average $1000 - $1500 USD","5 stars","5 stars","4 stars","5 stars","4 stars","4 stars","4 stars","5 stars","3 stars","5 stars","4 stars","1 stars","4 stars","5 stars"
"Toy Poodle","Caniche, Barbone, Chien Canne, Teacup Poodle, French Poodle, Pudle, Teddy Poodle","Small","14-16 years","Up to 10 inches (25.4 cm)","","Average $1000 - $1500 USD","5 stars","5 stars","4 stars","5 stars","4 stars","4 stars","4 stars","5 stars","3 stars","5 stars","4 stars","1 stars","4 stars","5 stars"
"Miniature Shar Pei","Mini Shar Pei, Mini Pei, Miniature Chinese Shar-Pei","Small","9-11 years","17 inches and under (43 cm)","","Average $1500 - $2000 USD","3 stars","4 stars","1 stars","1 stars","3 stars","2 stars","2 stars","3 stars","5 stars","4 stars","3 stars","1 stars","1 stars","3 stars"
"Grand Bleu de Gascogne","?","Large","12-14 years","26-28 inches (65-72 cm)","","Average $1000 - $1500 USD","3 stars","3 stars","2 stars","4 stars","3 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars","2 stars","3 stars","3 stars"
"Kangal Dog","Sivas Kangal, Turkish Kangal","Giant","12-15 years","Male: 30-32 inches (77-86 cm)","Female: 28-30 inches (72-77 cm)","Average $600 - $800 USD","3 stars","1 stars","2 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars","5 stars","3 stars","3 stars"
"Spanish Greyhound","Spanish Galgo, Galgo Espa?ol, Galgo","Large","12-15 years","23-28 inches (60-70 cm)","","Average $600 - $800 USD","3 stars","3 stars","1 stars","4 stars","3 stars","3 stars","3 stars","1 stars","1 stars","2 stars","3 stars","3 stars","3 stars","3 stars"
"Africanis","African Dog, Bantu Dog, Hottentot Hunting Dog, Khoikhoi Dog, Tswana breed dog, Zulu Dog, Umbwa Wa Ki-Shenzi","Medium","10-12 years","20-24 inches (50-60 cm)","","Average $300 - $500 USD","3 stars","2 stars","3 stars","4 stars","3 stars","3 stars","4 stars","2 stars","2 stars","2 stars","2 stars","2 stars","3 stars","4 stars"
"Aidi","A?di, Atlas Mountain Dog, Atlas Shepherd Dog, Berber Dog, Chien de l'Atlas, Chien de Montagne de l'Atlas, Kabyle Dog","Medium","10-12 years","21-24 inches (53-61 cm)","","Average $300 - $500 USD","3 stars","1 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","2 stars","2 stars","3 stars","2 stars","3 stars"
"Akbash Dog","Akbash, Akba? ?oban K?pe?i, Coban Kopegi","Large","10-12 years","Male: 28?32 inches (71?81 cm)","Female: 27?30 inches (69?76 cm)","Average $500 - $700 USD","3 stars","1 stars","4 stars","4 stars","3 stars","3 stars","2 stars","3 stars","2 stars","2 stars","3 stars","3 stars","2 stars","3 stars"
"Alano Espanol","Spanish Alano, Spanish Bulldog, Alano","Large","11-14 years","Male: 23-25 inches (58 - 64 cm)","Female: 22-24 inches (55-61 cm)","Average $600 - $800 USD","3 stars","2 stars","2 stars","4 stars","3 stars","3 stars","5 stars","1 stars","2 stars","3 stars","2 stars","2 stars","2 stars","3 stars"
"Alapaha Blue Blood Bulldog","Otto Bulldog, Catahoula Bulldog","Large","12-15 years","24 inches (61 cm)","","Average $800 - $1200 USD","5 stars","2 stars","3 stars","4 stars","3 stars","1 stars","3 stars","1 stars","2 stars","3 stars","3 stars","1 stars","1 stars","3 stars"
"Alaskan Klee Kai","AKK, Klee Kai, Miniature Alaskan Husky, Mini Husky","Medium","12-15 years","13-17.5 inches (33-42 cm)","","Average $1000 - $1500 USD","3 stars","4 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","2 stars","1 stars","3 stars","3 stars"
"American Mastiff","AM Mastiff","Large","10-12 years","28-36 inches (65-91 cm)","","Average $1000 - $1500 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"American Pit Bull Terrier","APBT, Pit Bull, Pitty, Pit, Pitbull","Medium","10-14 years","14-24 inches (35-60 cm)","","Average $500 - $700 USD","3 stars","2 stars","3 stars","4 stars","1 stars","1 stars","3 stars","1 stars","2 stars","3 stars","4 stars","3 stars","3 stars","3 stars"
"American Staghound","Staghound","Large","10-12 years","Male: 26-32 inches (66-81 cm)","Female: 24-29 inches (61-74 cm)","Average $800 - $1000 USD","3 stars","1 stars","3 stars","4 stars","3 stars","3 stars","3 stars","1 stars","2 stars","3 stars","3 stars","3 stars","3 stars","2 stars"
"American White Shepherd","White Swiss Shepherd, White Canadian Shepherd, White German Shepherd, WS, WGSD","Medium","12-14 years","Male: 24-26 inches (60?65 cm)","Female: 22-24 inches (55?60 cm)","Average $600 - $800 USD","3 stars","3 stars","2 stars","4 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars","4 stars","3 stars","2 stars","4 stars"
"Appenzeller Sennenhund","Appenzeller, Appenzell Cattle Dog, Appenzeller Mountain Dog, Entlebucher Sennenhund, Entlebucher Mountain Dog","Medium","12-15 years","Male: 22-23 inches (56-58.5 cm)","Female: 18.5-20 inches (47-50 cm)","Average $600 - $800 USD","3 stars","2 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","4 stars","3 stars","2 stars","4 stars"
"Dogo Argentino","Argentine Dogo, Argentine Mastiff, Dogo","Large","10-12 years","Male: 24?27 inches (60?68 cm)","Female: 24?26 inches (60?65 cm)","Average $2800 - $5000 USD","3 stars","2 stars","2 stars","3 stars","1 stars","1 stars","4 stars","2 stars","2 stars","3 stars","4 stars","3 stars","1 stars","3 stars"
"Ariege Pointer","Braque de l?Ari?ge, Ariege Pointing Dog","Large","10-13 years","Male: 24?26 inches (60?67 cm)","Female: 22?26 inches (56?65 cm)","Average $600 - $800 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Ariegeois","Ariege Hound","Medium","10-12 years","Male: 20?23 inches (52?58 cm)","Female: 20?22 inches (50?56 cm)","Average $600 - $800 USD","3 stars","2 stars","2 stars","4 stars","3 stars","3 stars","5 stars","2 stars","2 stars","3 stars","2 stars","3 stars","3 stars","3 stars"
"Australian Bulldog","Aussie Bulldog","Medium","10-12 years","Male: 18-20 inches (46-51 cm)","Female: 17-19 inches (44-48 cm)","Average $500 - $700 USD","3 stars","1 stars","2 stars","4 stars","3 stars","3 stars","4 stars","3 stars","2 stars","3 stars","2 stars","3 stars","2 stars","3 stars"
"Australian Kelpie","Australian Sheepdog, Australischer Kelpie, Kelpie, Barb","Medium","10-14 years","17-20 inches (43-51 cm)","","Average $500 - $700 USD","5 stars","2 stars","2 stars","4 stars","3 stars","3 stars","4 stars","1 stars","2 stars","3 stars","4 stars","3 stars","2 stars","5 stars"
"Australian Stumpy Tail Cattle Dog","Stumpy Tail Cattle Dog, Stumpy, Stumpy Tail, Heeler","Medium","10-13 years","18-20 inches (46-51 cm)","","Average $500 - $700 USD","5 stars","2 stars","2 stars","4 stars","3 stars","3 stars","5 stars","2 stars","2 stars","3 stars","3 stars","3 stars","2 stars","5 stars"
"Austrian Black and Tan Hound","?sterreichische Glatthaarige, Bracke, Austrian Smooth-haired Hound, Brandlbracke","Medium","12-14 years","Male: 20?22 inches (50?56 cm)","Female: 19?21 inches (48?54 cm)","Average $400 - $600 USD","3 stars","2 stars","2 stars","4 stars","3 stars","3 stars","4 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Austrian Pinscher","?sterreichischer Kurzhaarpinscher, Austrian Shorthaired Pinscher","Medium","12-14 years","Male: 17?20 inches (44?50 cm)","17?19 inches (42?48 cm)","Average $300 - $500 USD","3 stars","2 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","5 stars","2 stars","3 stars"
"Azawakh","Idi, Hanshee, Oska, Rawondu, Bareeru, Wulo, Tuareg Sloughi","Large","10-12 years","Male: 25?29 inches (64?74 cm)","Female: 24?28 inches (60?70 cm)","Average $600 - $800 USD","2 stars","4 stars","2 stars","2 stars","1 stars","3 stars","3 stars","1 stars","3 stars","3 stars","3 stars","3 stars","1 stars","3 stars"
"Barbet","French Water Dog","Medium","13-15 years","Male: 23?26 inches (58?65 cm)","Female: 21?24 inches (53?61 cm)","Average $600 - $1000 USD","4 stars","3 stars","2 stars","4 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","1 stars","3 stars","4 stars"
"Basset Bleu de Gascogne","Blue Gascony Basset, Bleus de Gascogne","Small","11-13 years","13?15 inches (34?38 cm)","","Average $600 - $800 USD","4 stars","3 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","2 stars","3 stars","3 stars","3 stars"
"Basset Fauve de Bretagne","Fawn Brittany Basset","Small","11-14 years","13-15 inches (32-38 cm)","","Average $600 - $800 USD","3 stars","4 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Bavarian Mountain Hound","Bavarian Mountain Scenthound, Bayerischer Gebirgsschwei","Medium","10-12 years","Male: 19?20 inches (47?52 cm)","Female: 17?19 inches (44?48 cm)","Average $600 - $800 USD","2 stars","2 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Belgian Shepherd Laekenois","Belgian Laekenois, Belgian Shepherd Dog (Laeken), Chien de Berger Belge","Medium","10-12 years","Male: 24-26 inches (61?66 cm)","Female: 22?24 inches (56?61 cm)","Average $500 - $800 USD","4 stars","1 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","4 stars","1 stars","2 stars","5 stars"
"Black Mouth Cur","Southern Cur, Yellow Black Mouth, East Texas Cur, American Black Mouth Cur","Medium","12-18 years","16-25 inches (40-64 cm)","","Average $300 - $500 USD","3 stars","2 stars","3 stars","3 stars","2 stars","3 stars","5 stars","2 stars","2 stars","3 stars","3 stars","2 stars","3 stars","3 stars"
"Black Norwegian Elkhound","Norsk Elghund Sort, Norsk Elghund Black, Black Elkhound, Norwegian Moose Dog (black)","Medium","12-15 years","Male: 19-21 inches (48-53 cm)","Female: 18-20 inches (46-51 cm)","Average $500 - $700 USD","3 stars","4 stars","2 stars","4 stars","2 stars","3 stars","5 stars","3 stars","2 stars","3 stars","3 stars","2 stars","2 stars","3 stars"
"Blue Lacy","Lacy Dog, Lacy Game Dog, Texas Blue Lacy, Lacy Hog Dog","Medium","14-16 years","18-23 inches (46-58 cm)","","Average $600 - $800 USD","3 stars","3 stars","2 stars","3 stars","2 stars","3 stars","3 stars","1 stars","2 stars","3 stars","3 stars","1 stars","2 stars","3 stars"
"Blue Picardy Spaniel","?pagneul Bleu de Picardie, Bleu Picard","Medium","12-14 years","22-24 inches (56-61 cm)","","Average $600 - $800 USD","3 stars","1 stars","2 stars","4 stars","3 stars","3 stars","5 stars","3 stars","2 stars","3 stars","5 stars","3 stars","2 stars","3 stars"
"Bohemian Shepherd","Chodsk? pes, Czech Sheepdog, Bohemian Herder, Chodenhund","Medium","10-13 years","19-22 inches (48-56 cm)","","Average $700 - $900 USD","3 stars","3 stars","2 stars","4 stars","4 stars","4 stars","5 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Bouvier des Ardennes","Ardennes Cattle Dog","Medium","12-14 years","Male: 22?25 inches (55?63 cm)","Female: 20?22 inches (51?57 cm)","Average $700 - $900 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Bracco Italiano","Italian Pointer, Italian Pointing Dog, Bracco","Medium","11-13 years","Male: 23?26 inches (58?67 cm)","Female: 22?24 inches (55?62 cm)","Average $700 - $900 USD","4 stars","3 stars","3 stars","4 stars","2 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Braque du Bourbonnais","Bourbonnais Pointer, Bourbonnais Pointing Dog","Medium","13-15 years","Male: 20?22 inches (51?57 cm)","Female: 19?22 inches (48?55 cm)","Average $900 - $1200 USD","3 stars","1 stars","3 stars","4 stars","2 stars","3 stars","5 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Brazilian Terrier","Fox Paulistinha, Terrier Brasileiro","Small","12-14 years","14-16 inches (36-41 cm)","","Average $500 - $700 USD","3 stars","2 stars","3 stars","4 stars","4 stars","4 stars","4 stars","1 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars"
"Briquet Griffon Vendeen","?","Medium","10-12 years","Male: 19?22 inches (49?56 cm)","Female: 19?21 inches (47?54 cm)","Average $400 - $600 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Bukovina Sheepdog","Bucovina Shepherd, Romanian Bukovina Sheepdog","Large","10-14 years","Male: 27?31 inches (68?78 cm)","Female: 25?28 inches (64?72 cm)","Average $800 - $1000 USD","3 stars","1 stars","2 stars","4 stars","2 stars","3 stars","4 stars","3 stars","2 stars","3 stars","2 stars","3 stars","2 stars","3 stars"
"Bulgarian Shepherd Dog","Karakachan, Karakachan Shepherd Dog","Medium","12-14 years","Male: 26-30 inches (65-75 cm)","Female: 25-28 inches (63-72 cm)","Average $800 - $1000 USD","3 stars","2 stars","2 stars","4 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars"
"C?o da Serra de Aires","Portuguese Sheepdog, Portuguese Shepherd Dog","Medium","12-14 years","16-22 inches (41-56 cm)","","Average $800 - $1000 USD","3 stars","1 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Canadian Eskimo Dog","Qimmiq, Canadian Inuit Dog, Esquimaux Dog, Exquimaux Husky","Large","12-14 years","Male: 24-29 inches (61-73 cm)","Female: 27-29 inches (68-73 cm)","Average $1000 - $1200 USD","3 stars","2 stars","2 stars","4 stars","3 stars","3 stars","5 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Caravan Hound","Mudhol Dog, Maratha Hound, Pashmi Hound","Large","10-15 years","Male: 26-29 inches (66-74 cm)","Female: 23-26 inches (55-66 cm)","Average $800 - $1000 USD","3 stars","1 stars","2 stars","4 stars","2 stars","3 stars","3 stars","2 stars","2 stars","3 stars","2 stars","2 stars","2 stars","3 stars"
"Carolina Dog","American Dingo, Dixie Dingo, North American Native Dog, Indian's Dog, Ol' Yaller, Yeller Dog, Yellow Dog","Medium","12-14 years","17-24 inches (45-61 cm)","","Average $800 - $1000 USD","3 stars","1 stars","2 stars","3 stars","3 stars","3 stars","4 stars","2 stars","2 stars","3 stars","2 stars","3 stars","2 stars","3 stars"
"Carpathian Sheepdog","Ciob?nesc Rom?nesc Carpatin, Romanian Carpathian Shepherd, C?ine Ciob?nesc Carpatin, Carpathian Sheepdog, Carpatin, Romanian Carpatin Herder, Rumanian Carpathian","Large","12-14 years","Male: 25-29 inches (65-73 cm)","Female: 23-26 inches (59-67 cm)","Average $800 - $1000 USD","2 stars","1 stars","2 stars","3 stars","2 stars","3 stars","3 stars","2 stars","2 stars","3 stars","2 stars","3 stars","2 stars","3 stars"
"Catahoula Bulldog","Catahoula Bulldogge, American Mastahoula","Large","10-14 years","24-26 inches (61-66 cm)","","Average $500 - $700 USD","3 stars","3 stars","2 stars","4 stars","2 stars","3 stars","3 stars","2 stars","2 stars","3 stars","2 stars","1 stars","2 stars","3 stars"
"Catahoula Leopard Dog","Catahoula Hog Dog, Catahoula Cur, Catahoula Hound","Medium","11-13 years","Male: 22-26 inches (56-58 cm) ","Female: 20-24 inches (51-61 cm) ","Average $300 - $500 USD","3 stars","1 stars","2 stars","4 stars","3 stars","2 stars","5 stars","1 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars"
"Catalan Sheepdog","Gos d'Atura Catal?, Catalan shepherd, Catalan sheepdog","Medium","12-14 years","Male: 19?22 inches (47?55 cm)","Female: 18?21 inches (45?53 cm)","Average $600 - $800 USD","3 stars","3 stars","2 stars","4 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars","2 stars","3 stars","2 stars","5 stars"
"Caucasian Ovcharka","Azerbaijani Shepherd Dog, Georgian Nagazi, Caucasian Mountain Dog, Circassian Sheep Dog, Armenian Khobun Dog, Kars (Kafkas) K?pe?i","Large","10-12 years","25-28 inches (64-72 cm)","","Average $1500 - $2000 USD","4 stars","2 stars","3 stars","4 stars","3 stars","2 stars","2 stars","2 stars","2 stars","3 stars","3 stars","3 stars","2 stars","2 stars"
"Central Asian Ovtcharka","Central Asian Shepherd Dog, Alabai, CAO, Aziat","Large","12-14 years","Male: 27-32 inches (65-78 cm)","Female: 24-27 inches (60-69 cm)","Average $1200 - $2000 USD","4 stars","1 stars","2 stars","4 stars","3 stars","2 stars","4 stars","3 stars","2 stars","3 stars","2 stars","3 stars","1 stars","1 stars"
"Cesky Fousek","Bohemian Wirehaired Pointing Griffon, Rough-coated Bohemian Pointer, Barbu tch?que","Medium","12-15 years","Male: 24?26 inches (60?66 cm)","Female: 23?24 inches (58?62 cm)","Average $500 - $700 USD","3 stars","1 stars","2 stars","4 stars","2 stars","3 stars","4 stars","2 stars","2 stars","3 stars","2 stars","3 stars","2 stars","3 stars"
"Chart Polski","Polish Greyhound","Large","10-12 years","Male: 28?31 inches (70?80 cm)","Female: 27?30 inches (68?75 cm)","Average $800 - $1000 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Cockapoo","Cockerpoo, Spoodle (AU), Cockerdoodle","Small","14-18 years","10-15 inches (25-38 cm)","","Average $900 - $1100 USD","5 stars","5 stars","3 stars","4 stars","5 stars","5 stars","3 stars","5 stars","3 stars","3 stars","3 stars","3 stars","5 stars","4 stars"
"Croatian Sheepdog","Hrvatski ov?ar, Kroatischer Sch?ferhund","Medium","12-14 years","16-21 inches (40-53 cm)","","Average $1000 - $1200 USD","4 stars","3 stars","2 stars","4 stars","3 stars","3 stars","5 stars","2 stars","2 stars","3 stars","3 stars","3 stars","2 stars","4 stars"
"Czechoslovakian Wolfdog","Slovak Wolfdog, Czech Wolfdog, Ceskoslovensky Vlcak","Medium","12-15 years","Male: 26 inches (65 cm)","Female: 24 inches (60 cm)","Average $400 - $600 USD","3 stars","2 stars","2 stars","4 stars","2 stars","3 stars","4 stars","2 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars"
"Danish-Swedish Farmdog","Scanian Terrier, Dansk-svensk g?rdshund","Small","10-15 years","Male: 13?15 inches (32?39 cm)","Female: 12?15 inches (30?37 cm)","Average $600 - $800 USD","5 stars","5 stars","4 stars","4 stars","3 stars","4 stars","3 stars","2 stars","2 stars","3 stars","4 stars","3 stars","3 stars","3 stars"
"Deutsche Bracke","German Bracke, Olper Bracke, Westphalian Bracke","Medium","10-12 years","16-21 inches (40?53 cm)","","Average $400 - $600 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Dingo","Australian Dingo, Australian Native Dog, Maliki, Warrigal, Noggum, Mirigung, Boolomo","Medium","16-20 years","19-23 inches (48-58.5 cm)","","Average $500 - $1000 USD","5 stars","1 stars","2 stars","3 stars","3 stars","3 stars","3 stars","1 stars","2 stars","3 stars","2 stars","3 stars","3 stars","3 stars"
"Drentse Patrijshond","Dutch Partridge Dog, Drentsche Patrijshond, Drent","Medium","12-14 years","Male: 23?25 inches (58?63 cm)","Female: 22?24 inches (55?60 cm)","Average $500 - $700 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Drever","Swedish Dachsbracke","Small","12-14 years","11-16 inches (28-40 cm)","","Average $600 - $800 USD","5 stars","5 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","3 stars","3 stars"
"Dunker","Norwegian Hound","Medium","10-12 years","Male: 20?22 inches (50?55 cm)","Female: 19?21 inches (47?53 cm)","Average $500 - $700 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Dutch Shepherd Dog","Dutch Shepherd, Hollandse Herder","Large","12-15 years","Male: 22.5-24.5 inches (57-62 cm)","Female: 21.5-23.5 inches (55-60 cm)","Average $1000 - $1200 USD","5 stars","3 stars","2 stars","3 stars","2 stars","3 stars","3 stars","2 stars","3 stars","3 stars","2 stars","3 stars","2 stars","4 stars"
"Dutch Smoushond","Dutch Ratter, Hollandse Smoushond","Small","12-15 years","14-17 inches (35-42 cm)","","Average $500 - $700 USD","3 stars","4 stars","2 stars","4 stars","4 stars","2 stars","3 stars","2 stars","2 stars","3 stars","2 stars","2 stars","2 stars","3 stars"
"East Siberian Laika","Vostotchno-Sibirskaia Laika","Large","12-15 years","Male: 22?26 inches (55?66 cm)","Female: 20?24 inches (51?60 cm)","Average $800 - $1000 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"East-European Shepherd","Byelorussian Ovcharka, Vostochnoevropejskaya Ovcharka, VEO","Large","10-14 years","Male: 26-30 inches (66-76 cm)","Female: 24-28 inches (61-72 cm)","Average $800 - $1000 USD","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars"
