breed,other_names,size,life_span,height,height_sec,price,adaptability,apartment_friendly,barking_tendencies,child_friendly,cat_friendly,dog_friendly,exercise_needs,grooming,health_issues,intelligence,playfulness,shedding_level,stranger_friendly,trainability
"Chesapeake Bay Retriever","Chessie, CBR, Chesapeake","Large","10-13 years","Male: 23-26 inches (58-66 cm)","Female: 21-24 inches (53-61 cm)","Average $700 - $900 USD","3 stars","1 stars","3 stars","4 stars","3 stars","2 stars","5 stars","2 stars","3 stars","5 stars","4 stars","3 stars","2 stars","3 stars"
"Shiba Inu","Brushwood Dog, Japanese Small-Size Dog, Japanese Shiba Inu, Shiba Ken, Shiba","Medium","12-15 years","Male: 14-16 inches (36-41 cm) ","Female: 13-15 inches (33-38 cm)","Average $800 - $1000 USD","4 stars","5 stars","2 stars","3 stars","2 stars","3 stars","3 stars","2 stars","3 stars","2 stars","3 stars","4 stars","2 stars","4 stars"
"Bichon Frise","Tenerife Dog, Bichon Tenerife, Bichon A Poil Frise, Bichon Tenerife, Purebred Bichon","Small","12-15 years","Male: 9-12 inches (23?30 cm)","Female: 9-11 inches (23-28 cm)","Average $700 - $1000 USD","5 stars","5 stars","3 stars","4 stars","5 stars","5 stars","2 stars","5 stars","3 stars","4 stars","4 stars","1 stars","5 stars","3 stars"
"Akita","Great Japanese Dog, Japanese Akita, American Akita","Large","10-14 years","Male: 26-28 inches (66-71 cm) ","Female: 24-26 inches (61-66 cm)","Average $800 - $1200 USD","5 stars","5 stars","1 stars","4 stars","3 stars","3 stars","4 stars","2 stars","3 stars","4 stars","3 stars","5 stars","2 stars","4 stars"
"Belgian Malinois","Malinois, Chien De Berger Belge, Mechelaar, Mechelse Herder, Mechelse Scheper, Pastor Belga Malinois","Medium","12-14 years","Male: 61?66 cm (24?26 in)","Female: 56?61 cm (22?24 in)","Average $600 - $800 USD","5 stars","3 stars","4 stars","4 stars","3 stars","3 stars","5 stars","1 stars","3 stars","3 stars","5 stars","3 stars","2 stars","5 stars"
"Bullmastiff","Bully, Bullie","Large","8-10 years","Male: 25-27 inches (63?69 cm)","Female: 24-26 inches (61?66 cm)","Average $1200 - $1500 USD","3 stars","3 stars","1 stars","4 stars","1 stars","1 stars","2 stars","2 stars","5 stars","3 stars","2 stars","3 stars","3 stars","3 stars"
"St. Bernard (Saint Bernard)","St. Hubert Hound, Chien St. Hubert, Sleuth Hound","Giant","8-10 years","25.5-27.5 inches (61-70 cm)","","Average $1500 - $1800 USD","4 stars","3 stars","1 stars","4 stars","5 stars","5 stars","2 stars","3 stars","5 stars","3 stars","2 stars","4 stars","3 stars","2 stars"
"Soft Coated Wheaten Terrier","Wheaten, Wheatie, Irish Soft-Coated Wheaten Terrier","Medium","12-15 years","Male: 18-20 inches (46-51 cm) ","Female: 17-19 inches (43-48 cm)","Average $800 - $1000 USD","5 stars","4 stars","3 stars","4 stars","1 stars","4 stars","4 stars","5 stars","3 stars","4 stars","5 stars","2 stars","4 stars","4 stars"
"Portuguese Water Dog","Portie, PWD, Water Dog, Cao De Agua","Medium","10-14 years","Male: 20-22 inches (50-57 cm)","Female: 17-20 inches (43-52 cm)","Average $2500 - $2800 USD","5 stars","4 stars","2 stars","4 stars","4 stars","4 stars","4 stars","3 stars","3 stars","2 stars","4 stars","1 stars","3 stars","3 stars"
"Bloodhound","St. Hubert Hound, Chien St. Hubert, Sleuth Hound","Large","10-12 years","Male: 25-27 inches (63-69 cm) ","Female: 23-25 inches (58-63 cm)","Average $800 - $1200 USD","3 stars","1 stars","5 stars","5 stars","5 stars","5 stars","5 stars","2 stars","5 stars","3 stars","4 stars","3 stars","5 stars","2 stars"
